freq,unit,hhtyp,geo\TIME_PERIOD	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC_HH,TOTAL,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.64 	85.45 	87.15 	90.87 	: 
A,PC_HH,TOTAL,AT	33.47 	37.37 	44.65 	46.69 	52.30 	59.62 	68.92 	69.75 	72.89 	75.44 	79.28 	80.86 	80.99 	82.42 	85.09 	88.79 	88.78 	89.91 	90.40 	95.00 	93.15 
A,PC_HH,TOTAL,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	69.19 	72.03 	72.84 	75.49 	: 
A,PC_HH,TOTAL,BE	: 	: 	: 	50.16 	53.96 	60.16 	63.63 	67.44 	72.74 	76.51 	77.71 	80.05 	82.80 	81.83 	84.79 	85.97 	87.27 	89.73 	90.86 	92.30 	94.44 
A,PC_HH,TOTAL,BG	: 	: 	9.65 	: 	17.01 	18.96 	25.29 	29.60 	33.11 	45.00 	50.92 	53.71 	56.65 	59.14 	63.54 	67.33 	72.13 	75.07 	78.85 	83.53 	87.31 
A,PC_HH,TOTAL,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90.63 	: 	: 	93.06 b	: 	95.51 	: 	98.67 	: 
A,PC_HH,TOTAL,CY	24.00 	29.00 	52.77 	31.71 	36.67 	38.90 	42.92 	52.76 	53.71 	57.35 	61.82 	64.71 	68.64 	71.21 	74.35 	79.41 	86.17 	89.61 	92.78 	93.41 	94.00 
A,PC_HH,TOTAL,CZ	: 	14.79 	19.37 	19.05 	29.25 	35.12 	45.86 	54.18 	60.52 	66.63 	72.55 	72.62 	77.99 	78.98 	81.65 	83.24 	86.36 	87.00 	88.02 	89.31 	91.48 
A,PC_HH,TOTAL,DE	46.14 	54.08 	60.00 	61.64 	67.11 	70.67 	74.88 	79.07 	82.49 	83.25 	85.50 	87.75 	89.47 	90.29 	92.14 	92.86 	94.39 	94.83 	95.80 	91.88 b	91.41 
A,PC_HH,TOTAL,DK	55.64 	64.19 	69.36 	74.92 	78.73 	78.05 	81.88 	82.53 	86.10 	90.08 	92.00 	92.71 	93.12 	91.74 	94.34 	97.00 	92.66 	95.43 	95.27 	96.14 	95.16 
A,PC_HH,TOTAL,EA	35.85 	39.95 	44.19 	49.95 	50.97 	56.91 	61.96 	66.74 	71.05 	73.58 	76.23 	79.08 	81.43 	82.83 	85.37 	86.81 	88.91 	90.48 	91.97 e	92.72 b	92.72 e
A,PC_HH,TOTAL,EE	: 	: 	30.76 	36.79 	45.18 	52.20 	57.35 	61.85 	66.89 	69.39 	73.82 	79.31 	82.90 b	87.73 	86.19 	88.27 	90.47 	90.43 	89.98 	91.82 	92.41 
A,PC_HH,TOTAL,EL	12.15 	16.30 	16.54 	21.73 	23.12 	25.40 	30.96 	38.06 	46.35 	50.17 	53.58 	56.31 	65.55 	68.09 	69.13 	70.96 	76.49 	78.54 	80.38 	85.07 	85.49 
A,PC_HH,TOTAL,ES	: 	27.55 	33.64 	35.51 	38.04 	43.48 	49.86 	52.93 	57.82 	62.71 	66.59 	69.73 	74.35 	78.75 	81.93 	83.39 	86.36 	91.44 	95.38 	95.92 	96.08 
A,PC_HH,TOTAL,EU15	38.69 	42.80 	46.46 	52.93 	53.88 	59.26 	64.28 	69.10 	73.14 	75.71 	78.54 	81.11 	83.38 	84.72 	87.26 	88.54 	90.23 	: 	: 	: 	: 
A,PC_HH,TOTAL,EU25	: 	: 	42.66 	48.37 	50.99 	56.60 	62.00 	67.45 	71.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_HH,TOTAL,EU27_2007	: 	: 	40.55 	48.37 	49.09 	54.76 	60.25 	65.81 	69.95 	72.98 	76.12 	78.65 	81.08 	82.64 	85.44 	86.93 	88.85 	: 	: 	: 	: 
A,PC_HH,TOTAL,EU27_2020	: 	: 	: 	: 	: 	52.99 	58.60 	64.15 	68.46 	71.55 	74.54 	77.17 	79.61 	81.37 	84.21 	85.81 	87.94 	89.68 	91.30 e	92.31 b	92.52 e
A,PC_HH,TOTAL,EU28	: 	: 	: 	: 	: 	54.65 	60.13 	65.69 	69.85 	72.89 	76.05 	78.54 	80.99 	82.60 	85.38 	86.86 	88.80 	90.48 	: 	: 	: 
A,PC_HH,TOTAL,FI	44.28 	47.36 	50.91 	54.14 	64.73 	68.78 	72.38 	77.78 	80.54 	84.16 	86.80 	89.24 	89.83 	89.93 	91.95 	94.42 	94.28 	94.36 	96.00 	96.56 	97.59 
A,PC_HH,TOTAL,FR	23.04 	30.98 	33.61 	: 	40.93 	55.05 	62.32 	68.87 	73.61 	75.92 	80.00 	81.72 	82.96 	82.62 	85.87 	86.41 	88.56 	90.17 	: 	93.33 	92.53 
A,PC_HH,TOTAL,HR	: 	: 	: 	: 	: 	40.59 	45.26 	50.04 	56.50 	61.41 	66.41 	64.58 	68.37 	76.71 	77.34 	76.45 	81.52 	80.52 	85.00 	86.09 	85.52 
A,PC_HH,TOTAL,HU	: 	: 	14.18 	22.12 	31.65 	37.72 	46.63 	53.42 	58.41 	63.22 	66.81 	69.66 	73.06 	75.64 	79.18 	82.35 	83.31 	86.20 	87.63 	90.78 	91.44 
A,PC_HH,TOTAL,IE	: 	35.57 	39.73 	47.18 	49.95 	57.27 	63.05 	66.67 	71.69 	78.12 	81.09 	82.39 	82.17 	84.86 	86.91 	88.37 	89.11 	90.59 	91.82 	97.50 b	: 
A,PC_HH,TOTAL,IS	: 	: 	80.59 	84.41 	83.02 	83.70 	87.73 	89.59 	92.04 	92.59 	94.60 	96.41 	96.48 	: 	: 	97.86 	99.18 	97.70 	98.48 	98.36 	: 
A,PC_HH,TOTAL,IT	33.75 	32.08 	34.11 	38.58 	40.01 	43.38 	46.93 	53.48 	58.97 	61.57 	62.92 	68.91 	72.61 	75.39 	78.51 	81.02 	84.34 	85.17 	88.10 	90.49 	91.45 
A,PC_HH,TOTAL,LT	4.10 	6.15 	11.60 	15.78 	34.51 	44.36 	50.94 	60.00 	60.58 	60.14 	60.12 	64.73 	65.97 	68.26 	71.75 	74.97 	78.38 	81.52 	82.13 	86.55 	87.71 
A,PC_HH,TOTAL,LU	39.89 	45.39 	58.64 	64.58 	70.18 	74.55 	80.09 	87.20 	90.28 	90.62 	93.08 	94.46 	95.56 	96.78 	97.04 	97.23 	92.99 b	95.20 	93.57 	99.18 	97.64 
A,PC_HH,TOTAL,LV	3.00 	: 	14.65 	30.52 	42.20 	50.53 	52.81 	58.02 	59.77 	63.64 	68.68 	71.60 	73.38 	76.00 	77.34 b	78.61 	81.58 	85.45 	89.73 	91.15 	91.39 
A,PC_HH,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.99 	: 	: 	: 	: 	70.57 	72.18 	74.25 	80.26 	80.76 	80.96 
A,PC_HH,TOTAL,MK	: 	: 	11.18 	: 	13.90 	: 	29.36 	41.79 	46.10 	: 	58.30 	65.08 	68.34 	69.38 	75.29 	73.58 	79.32 	81.62 	79.39 	83.74 	: 
A,PC_HH,TOTAL,MT	: 	: 	: 	40.57 	52.78 	53.92 	59.00 	64.45 	70.45 	75.29 	76.70 	78.04 	80.32 	81.00 	81.41 	84.77 	84.14 	86.08 	90.36 	90.54 	93.39 
A,PC_HH,TOTAL,NL	58.00 	60.53 	64.99 	78.26 	80.26 	82.89 	86.08 	89.70 	90.89 	93.64 	93.55 	94.63 	95.78 	95.97 	96.66 	98.23 	98.00 	98.41 	96.95 	98.56 	98.28 
A,PC_HH,TOTAL,NO	: 	60.49 	60.09 	64.01 	68.79 	77.59 	83.97 	85.56 	89.79 	92.24 	92.69 	94.29 	93.07 	96.60 	97.05 	96.65 	96.01 	98.38 	96.20 	98.93 	99.01 
A,PC_HH,TOTAL,PL	11.00 	14.00 	26.02 	30.44 	35.94 	40.98 	47.60 	58.59 	63.44 	66.64 	70.49 	71.90 	74.76 	75.78 	80.45 	81.88 	84.19 	86.75 	90.38 	92.42 	93.33 
A,PC_HH,TOTAL,PT	15.12 	21.69 	26.17 	31.46 	35.15 	39.61 	46.04 	47.89 	53.73 	57.97 	61.02 	62.34 	64.87 	70.23 	74.05 	76.94 	79.43 	80.94 	84.49 	87.34 	88.15 
A,PC_HH,TOTAL,RO	: 	: 	5.58 	: 	14.25 	22.25 	29.60 	37.95 	42.18 	47.44 	53.77 	58.07 	60.54 b	67.71 	72.40 	76.45 	80.89 	83.61 	86.24 	88.74 	89.41 
A,PC_HH,TOTAL,RS	: 	: 	: 	: 	: 	26.27 	: 	36.66 	: 	: 	: 	: 	: 	63.76 	: 	68.03 	72.91 	80.14 	80.95 	81.51 	83.24 
A,PC_HH,TOTAL,SE	: 	: 	: 	72.53 	77.39 	78.55 	84.44 	85.98 	88.30 	90.64 	91.69 	92.59 	89.57 	91.03 	93.80 b	94.73 	93.42 	96.06 	93.94 	93.23 	94.33 
A,PC_HH,TOTAL,SI	: 	: 	46.86 	48.21 	54.36 	57.61 	58.89 	63.94 	68.13 	72.60 	73.94 	75.62 	76.80 	77.64 	78.42 	81.74 	86.68 	88.96 	89.97 	93.04 	92.60 
